ident,name,coordinates,iso_country,iata_code
SWOW,Moura Airport,"-61.61722183, -1.466943979",BR,
SWOX,Estância Barbosa Airport,"-56.49555588, -15.76555634",BR,
SWOY,Fazenda Duas Barras Airport,"-52.81222153, -16.02527809",BR,
SWOZ,Fazenda Santo Antônio Airport,"-54.89916611, -15.31055641",BR,
SWPA,Pedro Afonso Airport,"-48.155375, -8.997618",BR,
SWPB,Forte Príncipe da Beira Airport,"-64.41889191, -12.41861057",BR,
SWPC,Parí Cachoeira Airport,"-69.79555511, 0.26305601",BR,
SWPD,Pouso da Águia Airport,"-60.58777618, 2.783611059",BR,
SWPE,Fazenda Lagoa da Mata Airport,"-55.59500122, -10.13638878",BR,
SWPG,Porto dos Gaúchos Airport,"-57.33388901, -11.51694393",BR,
SWPH,Fazenda Paulo Abreu Airport,"-52.13000107, -15.22611141",BR,
SWPI,Parintins Airport,"-56.77719879, -2.673019886",BR,PIN
SWPJ,Fazenda São Caetano Airport,"-53.0344429, -16.03416634",BR,
SWPK,Poconé Airport,"-56.65083313, -16.27277756",BR,
SWPL,Posto Leonardo Vilas Boas Airport,"-53.38166809, -12.19833279",BR,
SWPM,Pimenta Bueno Airport,"-61.17910004, -11.64159966",BR,PBQ
SWPN,Paranã Airport,"-47.87250137, -12.61972237",BR,
SWPO,Fazenda Porta do Amazônia Airport,"-51.24139023, -10.26527786",BR,
SWPP,Fazenda Pica-Pau Airport,"-50.66500092, -14.75305557",BR,
SWPQ,Fazenda Piraguassu Airport,"-51.68500137, -10.86111069",BR,
SWPR,Pires do Rio Airport,"-48.33480072, -17.31909943",BR,
SWPS,Porto São Sebastião Airport,"-56.18388748, -12.96694374",BR,
SWPT,Fazenda Piratinga Airport,"-55.01333237, -13.61722183",BR,
SWPV,Planaltina Airport,"-47.54416656, -15.67888927",BR,
SWPW,Pouso da Garça Airport,"-56.41722107, -16.96722221",BR,
SWPY,Primavera do Leste Airport,"-54.33777618, -15.56555557",BR,
SWPZ,Oriçanga de Abreu Airport,"-46.34540176, -14.11810017",BR,
SWQB,Hahn Heliport,"-46.39166641, -22.97722244",BR,
SWQD,Hospital Estadual Adão Pereira Nunes Heliport,"-43.28388977, -22.67305565",BR,
SWQE,Querari Airport,"-69.8506012, 1.091390014",BR,
SWQG,Fazenda Sossego Airport,"-55.42111206, -21.45722198",BR,
SWQH,Agropecuária Nova Santana Airport,"-60.53861237, -10.14722157",BR,
SWQI,Caracaraí Airport,"-61.126896, 1.832874",BR,
SWQJ,Campos de Júlio Airport,"-59.26750183, -13.41472244",BR,
SWQK,Pedra Airport,"-36.48110962, -6.766666889",BR,
SWQL,Fazenda Três Companheiros Airport,"-52.25249863, -16.68250084",BR,
SWQM,Fazenda Boa Vista Airport,"-56.37333298, -15.08944416",BR,
SWQN,Spa-Unicordis Heliport,"-48.25749969, -15.76361084",BR,
SWQP,Rio Vermelho Açucar e Álcool Airport,"-51.36999893, -21.3152771",BR,
SWQQ,Fazenda Fundão Alegre Airport,"-54.10388947, -18.62805557",BR,
SWQR,Estância Norteagro Airport,"-60.77861023, 2.675832987",BR,
SWQT,Fazenda Cotriguaçu Airport,"-58.22916794, -9.864443779",BR,
SWQU,Fazenda Guaporé Airport,"-60.12638855, -14.58749962",BR,
SWQV,Fazenda Maristela Airport,"-58.9691658, -16.11666679",BR,
SWQW,Fazenda Bacaeri Airport,"-56.82555771, -10.05277824",BR,
SWQX,Fazenda Barro Preto Airport,"-46.90111111, -13.33527756",BR,
SWQZ,Fazenda Quatro Irmãos Airport,"-53.55333328, -20.87833214",BR,
SWR,Silur Airport,"153.0544444, -4.529888889",PG,SWR
SWRA,Arraias Airport,"-46.88555527, -13.02388859",BR,AAI
SWRB,Fazenda Rio dos Bugres Airport,"-56.95055771, -14.81694412",BR,
SWRC,Fazenda Sevilha Airport,"-51.93416595, -12.62666702",BR,
SWRD,Rondonópolis Airport,"-54.72480011, -16.58600044",BR,ROO
SWRF,Fazenda Toloza Airport,"-57.98389053, -13.18361092",BR,
SWRG,Fazenda Rancho Maria e Tereza Airport,"-65.22861481, -10.82583332",BR,
SWRI,Fazenda Roncador I Airport,"-52.27899933, -12.15540028",BR,
SWRJ,Fazenda Panflora Airport,"-56.55277634, -15.08333302",BR,
SWRK,Pedreira Pombal Fazenda Recanto Heliport,"-44.257678, -22.486884",BR,
SWRL,Fazenda Pouso Redondo Airport,"-61.04916763, -12.97722244",BR,
SWRM,Santo Antônio do Descoberto Airport,"-48.33361053, -15.9305563",BR,
SWRN,Estação Naval do Rio Negro Heliport,"-59.95000076, -3.14277792",BR,
SWRO,Aeroclube de Rondônia Airport,"-63.85805511, -8.793610573",BR,
SWRP,Aripuanã Airport,"-59.38388824, -10.25027752",BR,AIR
SWRR,Fazenda Serra Azul Airport,"-54.56750107, -14.66777802",BR,
SWRS,Fazenda Santa Mônica Airport,"-54.90694427, -16.93333244",BR,
SWRT,Fazenda Santa Rita Airport,"-53.1930542, -17.34777832",BR,
SWRU,Umberto Bosaipo Regional Airport,"-53.07529831, -15.5564003",BR,
SWRV,Fazenda Vale do Rio Verde Airport,"-56.53388977, -12.16694355",BR,
SWRW,Fazenda Santa Alice Airport,"-58.04444504, -15.58749962",BR,
SWRX,Fazenda Santa Cruz do Pessoê Airport,"-60.4458313, -15.16499996",BR,
SWRY,Fazenda Santa Maria Airport,"-57.47055435, -15.73750019",BR,
SWRZ,Fazenda Arrossensal Airport,"-56.71379852, -14.35309982",BR,
SWSA,Fazenda São João Airport,"-56.53388977, -12.2891674",BR,
SWSB,Fazenda Sabiá Airport,"-51.97722244, -15.23333263",BR,
SWSC,Fazenda Santa Cruz Airport,"-52.73333359, -11.65361118",BR,
SWSD,Fazenda Santo Antônio Airport,"-51.81388855, -15.62388897",BR,
SWSF,Fazenda São Francisco Airport,"-60.21720123, -15.22410011",BR,
SWSG,Fazenda Simarelli Airport,"-59.31679916, -13.60680008",BR,
SWSH,São Raimundo II Airport,"-56.15277863, -9.966388702",BR,
SWSI,Presidente João Batista Figueiredo Airport,"-55.58610916, -11.88500023",BR,OPS
SWSK,Fazenda São Marco Airport,"-60.48389816, 3.049720049",BR,
SWSL,Teuto Heliport,"-48.92722321, -16.41083336",BR,
SWSM,Fazenda Santa Maria Airport,"-57.69444, -15.35833",BR,
SWSP,Sopave Norte Airport,"-54.73833466, -13.7252779",BR,
SWSQ,São Joaquim Airport,"-69.38388889, 1.733055556",BR,
SWSR,Sertânia Airport,"-55.63388824, -13.75027847",BR,
SWSS,Fazenda Silmar Airport,"-60.11444473, -16.16500092",BR,
SWST,Santa Terezinha Airport,"-50.51861191, -10.46472168",BR,STZ
SWSU,Fazenda Santa Juliana Airport,"-52.02083206, -12.85222244",BR,
SWSV,Fazenda Santa Sílvia Airport,"-51.3805542, -14.38861084",BR,
SWSW,PCDF Heliport,"-47.91305542, -15.77972221",BR,
SWSX,Seringal Nova Olinda Airport,"-69.21194458, -10.10444355",BR,
SWSY,São Simão Airport,"-60.15472031, -15.9086113",BR,
SWSZ,Fazenda Santa Luzia Airport,"-58.06277847, -9.773611069",BR,
SWTA,Fazenda Santa Márcia Airport,"-58.40888977, -15.41527843",BR,
SWTB,Tabajara Airport,"-62.11722183, -8.91694355",BR,
SWTC,Tocantínia Airport,"-48.45055771, -9.583610535",BR,
SWTD,Fazenda Sete de Setembro Airport,"-52.40000153, -13.88111115",BR,
SWTE,Fazenda Trescinco Airport,"-56.65888977, -13.91694355",BR,
SWTF,Porto Moura Heliport,"-65.5672226, -4.550278187",BR,
SWTH,Fazenda Smith,"-60.5107, 2.9185",BR,
SWTI,São Vicente Airport,"-59.7798996, -14.52029991",BR,
SWTJ,Fazenda Cachoeira Airport,"-57.79722214, -14.60333347",BR,
SWTK,Fazenda Santa Maria do Guaporé Airport,"-60.2808342, -14.20194435",BR,
SWTL,Fazenda Corumbiara Airport,"-61.2836113, -12.50055599",BR,
SWTM,Fazenda Santos Reis Airport,"-59.15000153, -16.26666641",BR,
SWTN,Fazenda Arapucel Airport,"-58.72916794, -15.04138947",BR,
SWTO,Paraíso do Tocantins Airport,"-48.93280029, -10.17420006",BR,
SWTP,Tapuruquara Airport,"-64.9923, -0.3786",BR,IRZ
SWTQ,Termas Pousada do Rio Quente Airport,"-48.76169968, -17.76860046",BR,
SWTR,Taraquá Airport,"-68.54560089, 0.124721996",BR,
SWTS,Tangará da Serra Airport,"-57.44350052, -14.6619997",BR,TGQ
SWTU,Fazenda Tucunaré Airport,"-58.86693478, -13.46552781",BR,AZL
SWTV,Fazenda Rio Preto Airport,"-57.96861267, -15.06222153",BR,
SWTW,Fazenda São Lucas Airport,"-59.2416687, -15.70638943",BR,
SWTX,Fazenda Olho D`Água Airport,"-52.97138977, -16.14527893",BR,
SWTY,Taguatinga Airport,"-46.40055466, -12.43388939",BR,QHN
SWUA,São Miguel do Araguaia Airport,"-50.19760132, -13.33129978",BR,SQM
SWUB,Fazenda Serra Alegre Airport,"-59.19166565, -15.67416668",BR,
SWUC,Luciara Airport,"-50.68388748, -11.20027828",BR,
SWUE,Fazenda Tapayuna Airport,"-55.9366684, -10.7033329",BR,
SWUF,Cervejaria Petrópolis Heliport,"-47.66055679, -23.25805664",BR,
SWUI,Pauini Airport,"-67.02833557, -7.722499847",BR,
SWUJ,Taguá Agropecuária Airport,"-55.3777771, -12.20499992",BR,
SWUK,Uapuí Cachoeira Airport,"-69.20055389, 1.216388941",BR,
SWUL,Fazenda Furna Azul Airport,"-48.42139053, -6.218056202",BR,
SWUM,Fazenda Rancho Novo Airport,"-60.27277756, -13.44250011",BR,
SWUN,Fazenda Santa Eunice Airport,"-57.56777954, -10.17194366",BR,
SWUO,Fazenda Santo André Airport,"-55.98722076, -13.68638897",BR,
SWUP,Uirapuru Airport,"-59.36722183, -14.01694393",BR,
SWUQ,Surucucu Airport,"-63.64699936, 2.835279942",BR,
SWUR,Fazenda Vista Verde Airport,"-44.38944244, -8.491666794",BR,
SWUS,Sede Fazenda São Benedito Airport,"-57.70916748, -14.23499966",BR,
SWUT,Lavoura Fazenda São Benedito Airport,"-57.7788887, -14.22000027",BR,
SWUU,Fazenda Uirapuru Airport,"-54.20055771, -12.13361073",BR,
SWUW,Fazenda Santa Bárbara II Airport,"-56.83694458, -15.11388874",BR,
SWUY,Urucu Airport,"-65.35540009, -4.884220123",BR,
SWUZ,Brigadeiro Araripe Macedo Airport,"-47.96870041, -16.26169968",BR,
SWVA,Valmir Amaral Heliport,"-47.89583206, -15.84833336",BR,
SWVB,Vila Bela da Santíssima Trindade Airport,"-59.96722031, -15.01527786",BR,
SWVC,Vila Rica Airport,"-51.14222336, -9.97944355",BR,VLP
SWVD,Fazenda Rio Verde Airport,"-52.57777786, -17.96916771",BR,
SWVE,Fazenda Vista Alegre Airport,"-68.00722504, -9.788611412",BR,
SWVF,Fazenda Sto Antônio Guaporé - Sede Nova Airport,"-59.92805481, -16.00944328",BR,
SWVH,Fazenda Vaca Branca Airport,"-56.23972321, -9.524443626",BR,
SWVI,Fazenda Pirassununga Airport,"-48.31111145, -11.5177784",BR,
SWVJ,Fazenda Uiapuru Airport,"-56.00222015, -13.66388893",BR,
SWVK,Fazenda Vale do Rio Celeste Airport,"-55.32611084, -13.03694439",BR,
SWVL,Fazenda Vertente Airport,"-55.31555557, -15.89666653",BR,
SWVN,Valdir Masutti Airport,"-59.79583359, -13.63277817",BR,
SWVO,Panorama Airport,"-55.3805542, -11.37027836",BR,
SWVP,Fazenda Santa Isabel Airport,"-50.33027649, 1.156666994",BR,
SWVQ,Uniban Morumbi Heliport,"-46.69444275, -23.63166618",BR,
SWVR,Estância Rosália Airport,"-55.45916748, -11.89999962",BR,
SWVS,Fazenda Sto Antônio do Guaporé - Baia do Padre Airport,"-60.04472351, -15.8591671",BR,
SWVT,Fazenda Estrela D`Alva Airport,"-52.64583206, -12.12333298",BR,
SWVU,Fazenda Ramalhete Airport,"-54.5766983, -21.73329926",BR,
SWVV,Fazenda Esperança Airport,"-60.10472107, -15.75194359",BR,
SWVY,Fazenda Carvalho Airport,"-56.48805618, -17.56805611",BR,
SWVZ,EMAL - Empresa de Mineração Aripuanã Ltda Airport,"-56.35277939, -14.75",BR,
SWWA,Porangatu Airport,"-49.15829849, -13.40480042",BR,
SWWB,Fazenda Rio Azul Airport,"-54.92694473, -11.25777817",BR,
SWWD,C.F. de Souza Bais Airport,"-63.785, -1.691388889",BR,
SWWF,Hotel Baiazinha Airport,"-57.83139038, -16.56972122",BR,
SWWG,Fazenda Canamari Airport,"-50.38111, -18.54806",BR,
SWWI,Fazenda Fortaleza Airport,"-53.57833481, -15.67333317",BR,
SWWJ,Posto de Proteção Ambiental Nossa Senhora do Carmo Airport,"-56.29916763, -16.68083382",BR,
SWWK,Urucará Airport,"-57.75579834, -2.528889894",BR,
SWWL,Fazenda Agrocentro Airport,"-52.26390076, -15.6967001",BR,
SWWM,Fazenda Pupila Airport,"-40.94944382, -18.77194405",BR,
SWWN,Fazenda Santa Amália Airport,"-56.57888794, -10.31305599",BR,
SWWP,Fazenda Taboca Heliport,"-47.8077774, -15.85111141",BR,
SWWQ,UNB Autotrac Heliport,"-47.87055588, -15.77166653",BR,
SWWR,Autódromo Internacional de Brasília Heliport,"-47.9011116, -15.77583313",BR,
SWWT,Sílvio Gonçalves de Mello Airport,"-45.33555603, -18.70555687",BR,
SWWU,Uruaçu Airport,"-49.13777924, -14.52555561",BR,
SWWV,Posto de Proteção Ambiental Santa Maria Airport,"-56.02916718, -16.70638847",BR,
SWWW,Posto de Proteção Ambiental São Luiz Airport,"-56.17638779, -16.68833351",BR,
SWWX,Posto de Proteção Ambiental São Joaquim Airport,"-56.36999893, -16.74611092",BR,
SWWY,Posto de Proteção Ambiental Espírito Santo Airport,"-56.27999878, -16.58722115",BR,
SWWZ,Darinha Airport,"-38.2508316, -4.116388798",BR,
SWXA,Fazenda Canadazinho Airport,"-51.40055466, -15.04222202",BR,
SWXC,Fazenda Tropical Airport,"-61.2983017, -12.88609982",BR,
SWXD,Aerogardi Airport,"-48.79861069, -21.56111145",BR,
SWXF,Chácara Córrego Fundo Airport,"-56.05, -15.59",BR,
SWXG,Xingu Airport,"-53.40222168, -12.00555611",BR,
SWXH,Fazenda São Sebastião Airport,"-46.25722122, -13.06333256",BR,
SWXI,Tocca do Mar-Kao Heliport,"-48.98138809, -16.26416779",BR,
SWXJ,Chácara São José Airport,"-55.98389053, -15.54194355",BR,
SWXK,Fazenda Rio Alegre Airport,"-56.89229965, -13.27420044",BR,
SWXL,Fazenda Lago Grande Airport,"-49.95111084, -12.10138893",BR,
SWXM,Regional Orlando Villas Boas Airport,"-54.95277786, -10.1702776",BR,MBK
SWXO,Fazenda Porto Seguro Airport,"-52.72722244, -7.131667137",BR,
SWXP,Fazenda Santa Luzia Airport,"-58.88805771, -13.7327776",BR,
SWXR,Faria Airport,"-58.77277756, -15.64583302",BR,
SWXS,Fazenda São João do Ibiporã Airport,"-59.63639069, -15.78999996",BR,
SWXT,Fazenda Medalha Milagrosa Airport,"-60.06499863, -16.1016674",BR,
SWXU,Xapuri Airport,"-68.55055237, -10.63361073",BR,
SWXV,Xavantina Airport,"-52.34640121, -14.69830036",BR,NOK
SWXW,Fazenda São João do Guaporé Airport,"-59.89110947, -15.97083282",BR,
SWXX,Fazenda Canadá Airport,"-48.423, -18.8619",BR,
SWXY,Fazenda Transoeste Airport,"-50.67083359, -10.35083294",BR,
SWXZ,Fazenda Taquarussu Airport,"-60.29333115, -13.3125",BR,
SWYA,Fazenda Nossa Senhora Aparecida Airport,"-54.95166779, -16.04416656",BR,
SWYB,Chácara Messias Heliport,"-46.25189972, -23.27529907",BR,
SWYC,Jair Feliciano de Deus Airport,"-58.11138916, -15.68722153",BR,
SWYD,Cotia Foods S/A Heliport,"-46.88194275, -23.61916733",BR,
SWYF,Minas Empreendimentos Heliport,"-44.06472015, -19.90138817",BR,
SWYG,São José Airport,"-40.20111084, -19.62166786",BR,
SWYH,Fazenda Aliança Airport,"-58.3144455, -15.29249954",BR,
SWYI,Barragem Manoel Alves Airport,"-46.98389053, -11.55166721",BR,
SWYJ,Fazenda Agropecuária FR Ltda. Airport,"-56.06833267, -7.622499943",BR,
SWYK,Fazenda Ilha Camargo Airport,"-56.58369827, -17.06259918",BR,
SWYL,Autódromo José Carlos Pace Heliport,"-46.69944382, -23.70277786",BR,
SWYM,Fazenda Anhanguera Airport,"-59.44910049, -14.64249992",BR,
SWYN,Prainha Airport,"-59.83959961, -7.172870159",BR,
SWYO,Usina Branco Peres Airport,"-51.02555466, -21.4869442",BR,
SWYP,Fazenda Ribeiro do Céu Airport,"-55.77833176, -13.95277786",BR,
SWYQ,Fazenda Nova Fronteira Airport,"-56.43759918, -11.46780014",BR,
SWYR,Fazenda Nossa Senhora do Pillar Airport,"-58.79527664, -15.34583282",BR,
SWYT,Fazenda Formosa Airport,"-47.68166733, -10.0130558",BR,
SWYU,Fazenda Entre Rios Airport,"-50.8666687, -14.44333267",BR,
SWYV,Clube de Marte Ibirá de Pará-Quedismo Airport,"-49.22416687, -21.0913887",BR,
SWYW,Fazenda Adriana Airport,"-53.83527756, -16.83444405",BR,
SWYX,Horizonte Azul Airport,"-53.27585, -13.181",BR,
SWYY,Fazenda Nova Viena Airport,"-52.27694321, -14.88777828",BR,
SWYZ,Residência Oficial Heliport,"-40.26916885, -20.32694435",BR,
SWZA,Agrosan Airport,"-58.11722183, -11.36694431",BR,
SWZB,Fazenda Arara Azul Airport,"-56.46027756, -17.00194359",BR,
SWZC,Fazenda Corixo Airport,"-58.89444351, -16.24583244",BR,
SWZD,Fazenda Denusa Destilaria Nova União Airport,"-50.14222336, -17.25583267",BR,
SWZE,Fazenda Tamboril Airport,"-59.3741684, -15.06222153",BR,
SWZF,Fazenda Araguari Airport,"-58.39944458, -15.49472237",BR,
SWZG,Fazenda Lagoa Encantada Airport,"-58.88750076, -16.01916695",BR,
SWZH,Fazenda Caçapava Airport,"-50.17499924, -17.57500076",BR,
SWZJ,Fazenda São João Airport,"-50.65361023, -14.54722214",BR,
SWZK,CON-CN-Cidade Nova Heliport,"-43.20333481, -22.9113884",BR,
SWZL,Fazenda Americana Airport,"-41.71444321, -18.14694405",BR,
SWZM,Usina São Simão Airport,"-50.56359863, -18.98649979",BR,
SWZN,Fazenda Francês Airport,"-50.42583466, -17.32222176",BR,
SWZO,Fazenda Lagoa Funda Airport,"-55.13639069, -15.34277821",BR,
SWZP,Fazenda Vale Rico Airport,"-54.20222092, -16.38583374",BR,
SWZQ,Fazenda Jussara Airport,"-50.07194519, -15.84527779",BR,
SWZR,Fazenda Santa Rita Airport,"-51.03388977, -15.3838892",BR,
SWZS,Fazenda Nova Larga Airport,"-57.67083359, -16.65833282",BR,
SWZT,Fazenda do Brejo Airport,"-44.47333145, -19.25499916",BR,
SWZU,Fazenda Rodoserv I Airport,"-52.59583282, -22.47277832",BR,
SWZV,Fazenda Rodoserv III Airport,"-56.77388763, -21.86222267",BR,
SWZW,Fazenda Santa Fé do Xingu Airport,"-52.21055603, -10.32111073",BR,
SWZX,Opto Heliport,"-47.91638947, -22.00083351",BR,
SWZY,Fazenda Sete Estrelas Airport,"-58.23416519, -11.57722187",BR,
SWZZ,Graer Heliport,"-48.85805511, -26.26277733",BR,
SXH,Sehulea Airport,"151.1618611, -9.964527778",PG,SXH
SXP,Sheldon Point Airport,"-164.8480072, 62.52059937",US,
SXS,Shell Army Heliport,"-85.84940338, 31.36269951",US,
SY-0001,Taftanaz Airbase,"36.78310013, 35.9720993",SY,
SY-0002,Qabr al-Sitt Heliport,"36.3577, 33.45873",SY,
SY-0003,Marj al-Sultan Heliport (North),"36.4671, 33.50026",SY,
SY-0004,Marj al-Sultan Heliport (South),"36.475288, 33.487116",SY,
SYAH,Aishalton Airport,"-59.31340027, 2.486530066",GY,AHL
SYAN,Annai Airport,"-59.12419891, 3.959439993",GY,NAI
SYAP,Apoteri Airport,"-58.60499954, 4.013879776",GY,
SYAW,Awaruwaunau Airport,"-59.20000076, 2.650000095",GY,
SYB,Seal Bay Seaplane Base,"-152.2018, 58.3733",US,SYB
SYBR,Baramita Airport,"-60.48799896, 7.370120049",GY,BMJ
SYBT,Bartica A Airport,"-58.63809967, 6.374770164",GY,GFO
SYCJ,Cheddi Jagan International Airport,"-58.2541008, 6.498549938",GY,GEO
SYDW,Dadanawa Airport,"-59.5242, 2.82555",GY,
SYEB,Ebini Airport,"-57.76699829, 5.617000103",GY,
SYGO,Ogle Airport,"-58.10589981, 6.806280136",GY,OGL
SYIB,Imbaimadai Airport,"-60.2942009, 5.708109856",GY,IMB
SYKK,Kurukabaru Airport,"-59.98300171, 4.717000008",GY,
SYKM,Kamarang Airport,"-60.61420059, 5.865340233",GY,KAR
SYKR,Karanambo Airport,"-59.30970001, 3.751940012",GY,KRM
SYKS,Karasabai Airport,"-59.53329849, 4.033329964",GY,KRG
SYKT,Kato Airport,"-59.8321991, 4.649159908",GY,KTO
SYKW,Kwakwani Airport,"-58.04999924, 5.283329964",GY,
SYKZ,Konawaruk Airport,"-58.995, 5.2684",GY,KKG
SYL,Roberts Army Heliport,"-120.7440033, 35.81499863",US,SYL
SYLD,Linden Airport,"-58.27030182, 5.965919971",GY,
SYLP,Lumid Pau Airport,"-59.44100189, 2.393929958",GY,LUB
SYLT,Lethem Airport,"-59.78939819, 3.372760057",GY,LTM
SYMB,Mabaruma Airport,"-59.78329849, 8.199999809",GY,USI
SYMD,Mahdia Airport,"-59.15110016, 5.277490139",GY,MHA
SYMM,Monkey Mountain Airport,"-59.68330002, 4.483329773",GY,MYM
SYMN,Manari Airport,"-59.56700134, 3.433000088",GY,
SYMP,Mountain Point Airport,"-59.63299942, 3",GY,
SYMR,Matthews Ridge Airport,"-60.184777, 7.488112",GY,MWJ
SYMW,Marurawana Airport,"-59.14970016, 2.729769945",GY,
SYN,Stanton Airfield,"-93.01629639, 44.4754982",US,SYN
SYNA,New Amsterdam Airport,"-57.474172, 6.244324",GY,QSX
SYOR,Orinduik Airport,"-60.03499985, 4.725269794",GY,ORJ
SYPR,Paruma Airport,"-61.05540085, 5.815450191",GY,PRR
SYSK,Skeldon Airport,"-57.14894, 5.8599",GY,SKM
SYWI,Wichabai Airport,"-59.53329849, 2.866669893",GY,
SZN,Santa Cruz Island Airport,"-119.9150009, 34.06060028",US,SZN
SZP,Santa Paula Airport,"-119.060997, 34.34719849",US,SZP
T13,Dallas South Port Airport,"-96.68540192, 32.47740173",US,
T14,Taylor Airport,"-96.09580231, 32.95220184",US,
T22,Charles L Kelly Army Heliport,"-98.41699982, 29.46689987",US,
T25,Aero Estates Airport,"-95.4618988, 32.08309937",US,
T26,Flying V Ranch Airport,"-96.39880371, 29.10829926",US,
T29,Flying H Ranch Airport,"-96.9408, 33.632267",US,
T32,Sudden Stop Airport,"-96.90720367, 33.57149887",US,
T33,Rives Air Park,"-96.3082962, 32.85710144",US,
T40,Mcgehee Catfish Restaurant Airport,"-97.17050171, 33.89899826",US,
T44,Trident Basin Seaplane Base,"-152.3910065, 57.78079987",US,
T48,Phillips Flying Ranch Airport,"-96.21910095, 32.86809921",US,
T57,Garland/Dfw Heloplex Heliport,"-96.68360138, 32.88759995",US,
T58,Ironhead Airport,"-97.2303009, 33.33179855",US,
T66,Visnaw Lake Seaplane Base,"-149.6790009, 61.61899948",US,
T71,Cuero Municipal Airport,"-97.26689911, 29.08359909",US,
T73,Kirk Air Base,"-80.68229675, 34.67430115",US,
T76,Rhome Meadows Airport,"-97.49610138, 33.14929962",US,
T79,Skyway Manor Airport,"-95.32800293, 29.55579948",US,
T80,Bishop's Landing Airport,"-96.72889709, 33.37730026",US,
T84,Fehmel Dusting Service Airport,"-95.97360229, 28.95249939",US,
T87,Flying C Airport,"-97.26999664, 33.34220123",US,
T91,The Carter Memorial Airport,"-97.65940094, 29.72830009",US,
T94,Twin-Oaks Airport,"-98.46309662, 29.57299995",US,
T95,Bay Electric Supply Heliport,"-95.10739899, 29.48830032",US,
TA00,Rafter P Airport,"-100.2789993, 32.38420105",US,
TA01,Phillips Farm Airport,"-97.25029755, 32.34180069",US,
TA02,Howard Field,"-97.46420288, 33.10290146",US,
TA03,Jo Na Acres Airport,"-95.90859985, 29.75860023",US,
TA04,Sheriff Department Heliport,"-97.0789032, 31.54820061",US,
TA05,Anxiety Aerodrome,"-96.53170013, 32.03770065",US,
TA06,Morris Manor Airport,"-95.80580139, 33.16120148",US,
TA07,Jet Ag Inc Airport,"-94.96690369, 30.00720024",US,
TA08,Flying M Airport,"-96.27390289, 33.14960098",US,
TA09,Navsta Ingleside Heliport,"-97.20359802, 27.83530045",US,
TA10,Flying W Heliport,"-97.13469696, 32.52180099",US,
TA11,Tsa Gliderport,"-97.0141983, 32.38349915",US,
TA12,Petroleum Helicopters Inc Heliport,"-93.94409943, 29.7010994",US,
TA13,Nebtex Land Co. Airport,"-102.8700027, 36.25640106",US,
TA14,Lpc Heliport,"-95.1187973, 29.8348999",US,
TA15,Columbus Community Hospital Heliport,"-96.540802, 29.69470024",US,
TA16,Travis Field Airport,"-100.854572, 33.442864",US,
TA17,Live Oak Ranch Airport,"-96.4332962, 30.18720055",US,
TA18,Sunset Airport,"-96.47940063, 32.70709991",US,
TA19,Post Oak Airfield,"-97.78359985, 32.67459869",US,
TA20,San Jacinto Methodist Hospital Heliport,"-94.97910309, 29.76880074",US,
TA21,Windmill Hill Airport,"-97.11920166, 33.01819992",US,
TA22,Reward Ranch Airport,"-96.12159729, 33.76729965",US,
TA23,Morris Lazy K Ranch Airport,"-96.21640015, 31.26129913",US,
TA24,Smoky Bend Airport,"-98.71140289, 31.47520065",US,
TA25,Cook Canyon Ranch Airport,"-98.594762, 32.431734",US,
TA26,Coyote Crossing Airport,"-97.05680084, 32.29639816",US,
TA27,Flying 'K' Airport,"-97.95030212, 30.83799934",US,
TA28,Woods Nr 2 Airport,"-95.92520142, 29.79360008",US,
TA29,Flying D Ranch Airport,"-100.8399963, 29.92580032",US,
TA30,Old Forker Ultralightport,"-95.08580017, 29.31879997",US,
TA31,Tularosa Airport,"-100.2580032, 29.43050003",US,
TA32,Upham Heliport,"-98.0667038, 32.8003006",US,
TA33,Meyer Field,"-95.6352005, 29.3579998",US,
TA34,Flying G Airport,"-100.0830002, 28.76689911",US,
TA35,Faust Farm Airport,"-96.35500336, 30.27269936",US,
TA36,Lempa Airport,"-97.31169891, 29.00580025",US,
TA37,Belo Broadcasting Heliport,"-96.80500031, 32.77510071",US,
TA38,Hendrick Medical Center Heliport,"-99.73400116, 32.4715004",US,
TA39,Eagle Lake Community Hospital Heliport,"-96.34549713, 29.58690071",US,
TA40,Dallas City Hall Heliport,"-96.79669952, 32.77510071",US,
TA41,Thomason General Hospital Heliport,"-106.4349976, 31.77210045",US,
TA42,Fly-N-Fish Lodge Airport,"-94.12490082, 32.71289825",US,
TA43,Anderosa Airpark,"-94.85440063, 31.04750061",US,
TA44,Puesta del Sol Airport,"-98.60169983, 27.07559967",US,
TA45,Eckels Heliport,"-95.65519714, 29.83160019",US,
TA46,Baum Airport,"-96.40110016, 32.56259918",US,
TA47,Richards Airport,"-97.24500275, 33.30139923",US,
TA48,Hawk Nest Heliport,"-97.15390015, 33.12739944",US,
TA49,Keno Field,"-97.79989624, 30.75510025",US,
TA50,Cielo Dorado Estates Airport,"-106.6409988, 31.90929985",US,
TA51,Eagle Airport,"-97.93730164, 32.68040085",US,
TA52,Flying Bull Ranch Airport,"-99.99620056, 29.81690025",US,
TA53,Rocky Top Ranch Airport,"-98.40910339, 30.13010025",US,
TA54,Clear Fork Ranch Heliport,"-97.646698, 32.73329926",US,
TA55,Del Valle Airport,"-97.59279633, 30.16769981",US,
